Category,Subcategory,Place,Address
Meeting Rooms,,Discussion Room 2 (HSS),"Discussion Room 2 (HSS), School of Humanities / School of Social Sciences, HSS-03-29, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Discussion Room 4 (HSS),"Discussion Room 4 (HSS), School of Humanities / School of Social Sciences, HSS-04-47, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Discussion Room 5 (HSS),"Discussion Room 5 (HSS), School of Humanities / School of Social Sciences, HSS-05-43, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 1 (HSS),"Meeting Room 1 (HSS), School of Humanities / School of Social Sciences, HSS-03-65, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 2 (HSS),"Meeting Room 2 (HSS), School of Humanities / School of Social Sciences, HSS-03-83, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 3 (HSS),"Meeting Room 3 (HSS), School of Humanities / School of Social Sciences, HSS-03-85, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 4 (HSS),"Meeting Room 4 (HSS), School of Humanities / School of Social Sciences, HSS-04-71, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 5 (HSS),"Meeting Room 5 (HSS), School of Humanities / School of Social Sciences, HSS-04-89, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 6 (HSS),"Meeting Room 6 (HSS), School of Humanities / School of Social Sciences, HSS-04-91, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,SoH Meeting Room,"SoH Meeting Room, School of Humanities / School of Social Sciences, HSS-03-84A, 48 Nanyang Avenue, Singapore 639818"
Reading Rooms,,Athena Reading Room,"Athena Reading Room, Block NS3, NS3-03-02"
Reading Rooms,,Minerva Reading Room,"Minerva Reading Room, Block NS3, NS3-03-03"
Reading Rooms,,Nanyang Fellows Reading Room (NBS),"Nanyang Fellows Reading Room (NBS), Block S3, S3-B2B-76"
Reading Rooms,,Reading Room (NBS),"Reading Room (NBS), Block S3, S3-01C-121"
Reading Rooms,,Reading Room 1 (NBS),"Reading Room 1 (NBS), Block S3, S3-B4A-05"
Reading Rooms,,Reading Room 2 (NBS),"Reading Room 2 (NBS), Block S3, S3-B4A-04"
Reading Rooms,,Reading Room - N2 B1C,"Reading Room - N2 B1C, Block N2, N2-B1C-14"
Reading Rooms,,Reading Room 1 (North Spine),"Reading Room 1 (North Spine), Block NS3, NS3-05-78"
Reading Rooms,,Reading Room (PAP),"Reading Room (PAP), School of Physical and Mathematical Sciences (SPMS), SPMS-PAP-02-03, 21 Nanyang Link, Singapore 637371"
Reading Rooms,,Reading Room (South),"Reading Room (South), Block S4, S4-B1A-09"
Reading Rooms,,Staff Reading Room (NBS),"Staff Reading Room (NBS), Block S3, S3-01B-109"
Seminar Rooms,CBE,1,"Seminar Room 1 - CBE, Block N1.2, N1.2-B3-14, 62 Nanyang Drive, Singapore 637459"
Seminar Rooms,CBE,2,"Seminar Room 2 - CBE, Block N1.2, N1.2-B3-02, 62 Nanyang Drive, Singapore 637459"
Seminar Rooms,CBE,3,"Seminar Room 3 - CBE, Block N1.2, N1.2-B3-18, 62 Nanyang Drive, Singapore 637459"
Seminar Rooms,CIS,A,"Seminar Room A - CIS, Block N1, N1-B1B-06"
Seminar Rooms,CIS,B,"Seminar Room B - CIS, Block N1, N1-B1B-14"
Seminar Rooms,CIS,C,"Seminar Room C - CIS, Block N1, N1-B1B-05"
Seminar Rooms,HSS,Conference Room,"Conference Room (HSS), School of Humanities / School of Social Sciences, HSS-05-57, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,HSS,3,"Seminar Room 3 - HSS, School of Humanities / School of Social Sciences, HSS-B1-10, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,HSS,4,"Seminar Room 4 - HSS, School of Humanities / School of Social Sciences, HSS-B1-09, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,HSS,6,"Seminar Room 6 - HSS, School of Humanities / School of Social Sciences, HSS-01-04, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,HSS,7,"Seminar Room 7 - HSS, School of Humanities / School of Social Sciences, HSS-01-06, 48 Nanyang Avenue, Singapore 639818"
